geometry,crs,temporal_extent,EC_hcat_n,id,backend_name,status,start_time,running_start_time,cpu,memory,duration
"POLYGON ((24.17097701 58.61711298, 24.17103009 58.61710933, 24.17105742 58.61709589, 24.17120822 58.6167633, 24.17129111 58.61655143, 24.17135552 58.61641553, 24.17155846 58.61588808, 24.17185979 58.61515261, 24.17202885 58.61478239, 24.17258323 58.61342796, 24.1728586 58.61267274, 24.1728728 58.61266529, 24.17288419 58.61266528, 24.17297219 58.61244698, 24.17289674 58.61243853, 24.17282301 58.61243863, 24.17277774 58.61243937, 24.17274023 58.61244077, 24.17270792 58.61244689, 24.17259035 58.61247404, 24.17253861 58.61247479, 24.17249074 58.61247418, 24.17222237 58.61243733, 24.17199754 58.61239924, 24.17190694 58.61239053, 24.17133713 58.61239257, 24.17052606 58.61243778, 24.16992705 58.61244484, 24.16988437 58.61245233, 24.16984179 58.61248062, 24.16980726 58.61252809, 24.16960088 58.61305107, 24.16947058 58.6133738, 24.16923936 58.6139302, 24.16855782 58.61550873, 24.16800243 58.61683008, 24.16801109 58.61685151, 24.16803854 58.6168613, 24.16812254 58.61687638, 24.16938527 58.61697748, 24.17092662 58.61710637, 24.17097701 58.61711298), (24.17013134 58.61468169, 24.17015444 58.61463706, 24.17016986 58.61461271, 24.17018533 58.61459782, 24.17023705 58.61457883, 24.17027328 58.61457067, 24.17033799 58.61456113, 24.1703846 58.61455701, 24.17040015 58.61455834, 24.17044942 58.61456909, 24.17049612 58.61458254, 24.17053242 58.61458925, 24.17056094 58.61458783, 24.17061529 58.61458237, 24.17068263 58.61458229, 24.17072665 58.61457818, 24.17076287 58.61456867, 24.17080939 58.61454563, 24.17085857 58.61453746, 24.17089486 58.61454282, 24.17093115 58.61454682, 24.17096229 58.61455894, 24.17097534 58.61457785, 24.17095995 58.61460896, 24.17072473 58.61524721, 24.17069121 58.61527834, 24.17064463 58.61528922, 24.17059542 58.61529199, 24.17050216 58.61529076, 24.1702664 58.61528702, 24.17007988 58.61528726, 24.16991408 58.61528613, 24.16980526 58.61528222, 24.1697249 58.61527151, 24.1696652 58.61524726, 24.16963907 58.61520135, 24.16965951 58.61514046, 24.1696876 58.61505937, 24.16974919 58.61493899, 24.16980823 58.61482674, 24.16984434 58.61478881, 24.16988562 58.61476041, 24.16993995 58.61474002, 24.17000203 58.61472646, 24.17010552 58.61469929, 24.17013134 58.61468169))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-25052309514848679c8a00a2a073cc46,cdse,finished,2025-05-23T09:51:48Z,2025-05-23T09:54:08Z,165.65195189800002 cpu-seconds,910656.09375 mb-seconds,120 seconds
"POLYGON ((24.17157628 58.61716049, 24.17161896 58.61715151, 24.17206807 58.61696666, 24.17240907 58.61680721, 24.17254839 58.61675798, 24.17258072 58.61674061, 24.1726136 58.61672957, 24.17263294 58.61672028, 24.17267811 58.61670842, 24.17270467 58.61670053, 24.17276849 58.61669313, 24.17315715 58.61660709, 24.17362538 58.6164924, 24.17414918 58.61633496, 24.17455209 58.6162353, 24.17462491 58.61622433, 24.17480781 58.61622015, 24.17509536 58.61622818, 24.17533124 58.61623797, 24.17551216 58.6162411, 24.17567042 58.61623583, 24.17580926 58.61622047, 24.17581341 58.6162209, 24.17599648 58.61618384, 24.17615852 58.61260034, 24.17603467 58.6126115, 24.17587665 58.61261687, 24.17552106 58.61261767, 24.17506668 58.61259579, 24.17470874 58.61258113, 24.17433141 58.61255894, 24.17418593 58.61254769, 24.17396448 58.61254375, 24.17386062 58.61255744, 24.17374317 58.61259514, 24.17353855 58.61270022, 24.1734402 58.61273406, 24.17335146 58.61275188, 24.17323837 58.61274613, 24.17307031 58.61272782, 24.17301546 58.61273969, 24.17296718 58.61277515, 24.17290944 58.61285622, 24.17288078 58.61293875, 24.17244386 58.61404184, 24.17203265 58.61497556, 24.1717485 58.61568918, 24.17148415 58.61637752, 24.17120255 58.61703468, 24.17117448 58.61711942, 24.17117741 58.61713576, 24.17119454 58.61714316, 24.17156489 58.6171605, 24.17157628 58.61716049))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-2505230952064aa3835762fad7e14c55,cdse,finished,2025-05-23T09:52:06Z,2025-05-23T09:54:08Z,166.999545848 cpu-seconds,1178579.0703125 mb-seconds,124 seconds
"POLYGON ((25.04255783 59.02648479, 25.04251194 59.0264764, 25.0424718 59.02650846, 25.05139298 59.02960878, 25.05231757 59.02947275, 25.05256834 59.02939003, 25.05316468 59.02919189, 25.05336822 59.02912958, 25.0533799 59.02912023, 25.05338351 59.02910786, 25.05338298 59.02909038, 25.05336727 59.02906002, 25.05328634 59.02902582, 25.05325963 59.02900078, 25.05322703 59.02897132, 25.05319731 59.02894184, 25.05315432 59.02891743, 25.05309362 59.02888913, 25.05302768 59.02886149, 25.05291704 59.02882523, 25.05280946 59.0287949, 25.05263961 59.02870711, 25.05252586 59.02866345, 25.05219656 59.02850775, 25.05218102 59.02848544, 25.0522069 59.0284639, 25.05231788 59.02837864, 25.04786956 59.02696801, 25.04230415 59.02520316, 25.0421611 59.02515719, 25.04192513 59.02508196, 25.04180254 59.02518628, 25.04135955 59.02558058, 25.04132784 59.0256092, 25.04129983 59.02563768, 25.04129754 59.0256555, 25.04129786 59.02566592, 25.04130099 59.02567631, 25.04131576 59.02568804, 25.04180999 59.0258615, 25.04197697 59.02591054, 25.04234953 59.02603941, 25.04242215 59.02605814, 25.04245172 59.02606323, 25.04249431 59.02606781, 25.04253574 59.02606912, 25.04256437 59.02606834, 25.04259401 59.0260637, 25.04262881 59.02605687, 25.04267199 59.02604503, 25.04270151 59.02604098, 25.04273124 59.02604129, 25.04276221 59.02604538, 25.04278905 59.02605779, 25.04281471 59.02606415, 25.04283196 59.02607566, 25.04288821 59.02610624, 25.04290043 59.02612638, 25.04289462 59.02614503, 25.04288865 59.02615543, 25.04287077 59.0261633, 25.04285495 59.02616909, 25.04284393 59.02618551, 25.04283576 59.02620194, 25.04283594 59.02620788, 25.04278561 59.02627943, 25.04276713 59.02631245, 25.04274885 59.02634151, 25.04270855 59.02637963, 25.04267776 59.02640978, 25.04264731 59.02642552, 25.04262869 59.02643989, 25.0425884 59.02647798, 25.04255783 59.02648479), (25.0440182 59.02654602, 25.04406348 59.02651953, 25.04412279 59.02650005, 25.04419979 59.02648507, 25.04425064 59.02647734, 25.04430243 59.02647396, 25.04434571 59.02647662, 25.04439207 59.02648366, 25.04444876 59.02650403, 25.04449453 59.02652611, 25.04451635 59.02655081, 25.04451847 59.02657485, 25.04447282 59.02660314, 25.04441662 59.02662766, 25.04438252 59.02664573, 25.04431642 59.0266522, 25.04424731 59.02665424, 25.04417509 59.02664888, 25.04411683 59.02662854, 25.04404752 59.02660161, 25.0440309 59.02658512, 25.04402108 59.026565, 25.0440182 59.02654602))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-2505230952244060a337e6c1f2f59775,cdse,finished,2025-05-23T09:52:24Z,2025-05-23T09:54:08Z,107.808467025 cpu-seconds,411760.986328125 mb-seconds,95 seconds
"POLYGON ((25.04701078 59.02669566, 25.0523183 59.02837834, 25.05231843 59.02837904, 25.05240911 59.02833154, 25.05246307 59.02828973, 25.05251326 59.02825536, 25.05256571 59.02823512, 25.05260895 59.02821308, 25.05265849 59.02819132, 25.05271179 59.02816508, 25.05278905 59.02811823, 25.05287217 59.0280836, 25.05294991 59.02805278, 25.05301688 59.02802865, 25.05305298 59.02801233, 25.05309457 59.02799595, 25.05315356 59.02798232, 25.05336032 59.02793023, 25.05346592 59.02790745, 25.05353778 59.02789372, 25.05358003 59.02788461, 25.05363482 59.02786882, 25.05368622 59.027865, 25.05375795 59.02785402, 25.05381631 59.027842, 25.05385999 59.0278341, 25.05390189 59.0278281, 25.05394374 59.02782022, 25.05397101 59.02781434, 25.05399996 59.02780372, 25.05398695 59.02779723, 25.04927731 59.02559542, 25.04786074 59.02497976, 25.04695908 59.02456872, 25.04654158 59.02440429, 25.04635184 59.02434437, 25.04615932 59.02429929, 25.0461153 59.02429587, 25.04574232 59.02425152, 25.04573731 59.02425651, 25.04573848 59.02425664, 25.04419276 59.02580173, 25.04701078 59.02669566))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-250523095240473a9f0b5bbf83a35727,cdse,finished,2025-05-23T09:52:40Z,2025-05-23T09:54:09Z,91.123242974 cpu-seconds,316762.59375 mb-seconds,102 seconds
"POLYGON ((25.046909 59.00348961, 25.04900312 59.00299766, 25.04508943 59.0007216, 25.04278538 59.00095931, 25.04411344 59.00181594, 25.04508128 59.00238899, 25.04567431 59.00274373, 25.04625622 59.00308759, 25.04680558 59.0034249, 25.046909 59.00348961))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-250523095410431fb7a08fabde724a6a,cdse,finished,2025-05-23T09:54:10Z,,114.760330019 cpu-seconds,540799.703125 mb-seconds,116 seconds
"POLYGON ((26.60813758 58.27401347, 26.6141803 58.2710979, 26.61414009 58.2710408, 26.61406392 58.27093149, 26.61402575 58.27087574, 26.61384193 58.270597, 26.6137111 58.27041533, 26.61366213 58.27035886, 26.61362376 58.27033654, 26.61358376 58.27031963, 26.61353975 58.27030387, 26.61345951 58.2703096, 26.61338328 58.27031588, 26.6132986 58.27032907, 26.61316784 58.2703587, 26.61293247 58.27041538, 26.61285632 58.27044098, 26.61276845 58.27046643, 26.61261711 58.27048888, 26.61247863 58.27051228, 26.61153983 58.27068875, 26.61096526 58.27079901, 26.61065684 58.27086284, 26.61051918 58.27089093, 26.61011741 58.27098892, 26.60987128 58.27105362, 26.60957463 58.2711387, 26.60947592 58.27117574, 26.6091049 58.27128322, 26.60873514 58.27140043, 26.60850876 58.27147611, 26.60838531 58.27151838, 26.60785213 58.27168079, 26.6076004 58.27176147, 26.60747543 58.2718004, 26.60739977 58.27182602, 26.60736603 58.27184357, 26.60733938 58.27186493, 26.6073083 58.27190275, 26.60727895 58.27192565, 26.6072639 58.27195124, 26.60725167 58.27197677, 26.60724801 58.27200362, 26.60724925 58.27205862, 26.6073876 58.27235992, 26.60768345 58.27299039, 26.60782649 58.2733, 26.60806056 58.27383394, 26.60813758 58.27401347), (26.60956881 58.27179441, 26.60956946 58.27179245, 26.60960844 58.27174704, 26.6096816 58.27171383, 26.60969602 58.27170395, 26.60975523 58.27167936, 26.60981046 58.27166536, 26.60982787 58.27166075, 26.60985605 58.27165772, 26.6099284 58.2716456, 26.61010174 58.27163913, 26.61016071 58.2716613, 26.61028074 58.27175919, 26.61029491 58.27180079, 26.61027726 58.2718372, 26.61022608 58.2718704, 26.6101282 58.27192209, 26.61001787 58.27195553, 26.60994474 58.27196678, 26.60979178 58.27197381, 26.609705 58.27197559, 26.60963836 58.27194968, 26.60961967 58.27193716, 26.60960513 58.27193151, 26.60959535 58.27192087, 26.60956638 58.27190147, 26.609542 58.27187176, 26.60953735 58.27183386, 26.60954308 58.27181134, 26.60956881 58.27179441))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-2505230954294cff98439d400afd24a0,cdse,finished,2025-05-23T09:54:29Z,2025-05-23T09:57:04Z,98.46276863699998 cpu-seconds,531291.9609375 mb-seconds,111 seconds
"POLYGON ((23.53527929 58.86937141, 23.53532324 58.86938125, 23.53544157 58.86939373, 23.53568569 58.86942348, 23.53582952 58.86944573, 23.53587654 58.86944891, 23.53588733 58.86945965, 23.53588836 58.8694735, 23.53587682 58.8695194, 23.53586404 58.86956593, 23.53581112 58.86973008, 23.53581725 58.86981797, 23.5358358 58.86986099, 23.53585339 58.86990826, 23.53588095 58.8699373, 23.5359365 58.86996394, 23.53599283 58.86997494, 23.53620708 58.86998459, 23.53629704 58.86998804, 23.53631655 58.86999929, 23.53631598 58.87000828, 23.53631728 58.87000966, 23.53631523 58.8700202, 23.53631423 58.87003614, 23.53630762 58.87005944, 23.53628796 58.8701607, 23.53626765 58.87022269, 23.53623519 58.87035334, 23.5362383 58.87039398, 23.53624995 58.87042386, 23.53626916 58.87044092, 23.53629024 58.87044592, 23.53855478 58.87047149, 23.53861662 58.8704535, 23.53865346 58.8704337, 23.53871498 58.87037665, 23.5387733 58.87033311, 23.53878505 58.87032541, 23.53878753 58.87031454, 23.53881928 58.87029979, 23.53885545 58.87027927, 23.53893325 58.87022827, 23.53898673 58.87019781, 23.53903455 58.87016869, 23.53907499 58.87016315, 23.53911874 58.87014914, 23.53913877 58.87015205, 23.53927987 58.87020622, 23.53944413 58.87028169, 23.53965043 58.87037059, 23.53969015 58.87038538, 23.53973993 58.87035254, 23.54045341 58.86985304, 23.54050602 58.86981729, 23.54052202 58.86974417, 23.54051711 58.86961747, 23.54044514 58.86950327, 23.54010385 58.86918407, 23.54009311 58.86917557, 23.53978827 58.86888867, 23.53975486 58.86885567, 23.53945601 58.86857295, 23.53919057 58.86832542, 23.53909644 58.86824289, 23.53898958 58.86814052, 23.53898367 58.86813266, 23.53878774 58.86790643, 23.53863586 58.86774718, 23.5386109 58.8677246, 23.53860332 58.86770972, 23.53832698 58.86738969, 23.53794565 58.86710667, 23.5374924 58.86677444, 23.53746125 58.86675295, 23.53744934 58.86674539, 23.53716183 58.86654165, 23.53674475 58.86624316, 23.53657094 58.86610774, 23.53647893 58.86602631, 23.53633279 58.86587893, 23.53622442 58.8657547, 23.53607652 58.86558101, 23.53594351 58.86540079, 23.53582927 58.86524147, 23.53576707 58.8651459, 23.53572968 58.86509426, 23.53560548 58.86499135, 23.53553977 58.8649378, 23.53541698 58.864865, 23.53541185 58.86486409, 23.53540041 58.86486108, 23.53494747 58.86569601, 23.53325053 58.86881589, 23.53466997 58.86896899, 23.53543618 58.86905143, 23.53527929 58.86937141))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-25052309544842679530db3bf2e8f7e3,cdse,finished,2025-05-23T09:54:48Z,2025-05-23T09:57:04Z,112.555628573 cpu-seconds,542170.8046875 mb-seconds,134 seconds
"POLYGON ((26.57386945 58.26646854, 26.57403923 58.26645691, 26.5741349 58.26644551, 26.57414282 58.2664441, 26.5742122 58.26641117, 26.57423212 58.26635614, 26.57426138 58.26626519, 26.57431409 58.26605819, 26.57431842 58.26604848, 26.57432292 58.26602362, 26.57434152 58.265985, 26.57435162 58.26596035, 26.57437228 58.2659336, 26.57439608 58.26590114, 26.57444279 58.26582372, 26.5745592 58.26541324, 26.57456566 58.26539169, 26.57459339 58.26529312, 26.57461506 58.26518392, 26.57461986 58.26513555, 26.57461324 58.26510998, 26.57460203 58.2651004, 26.57348176 58.2656091, 26.57347076 58.26564399, 26.57343897 58.26576207, 26.573343 58.2659983, 26.57331309 58.26607539, 26.57330044 58.26612492, 26.57327283 58.26627048, 26.57328491 58.2663816, 26.57330588 58.26645052, 26.57333222 58.26648361, 26.57342487 58.26649644, 26.57363943 58.2664858, 26.57386945 58.26646854))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-25052309550644238923372db62fe0d9,cdse,finished,2025-05-23T09:55:06Z,2025-05-23T09:57:05Z,215.229741634 cpu-seconds,921627.4186197917 mb-seconds,151 seconds
"POLYGON ((24.34591759 58.61612633, 24.34602406 58.61613768, 24.34602648 58.6161464, 24.34617301 58.61617341, 24.34637827 58.61618737, 24.34828922 58.61631531, 24.35096171 58.61649597, 24.35164847 58.6165429, 24.35192173 58.61655969, 24.35195959 58.61656397, 24.35207159 58.61642119, 24.35233014 58.61581111, 24.35245331 58.61552582, 24.35254397 58.61535021, 24.35263467 58.61510485, 24.35278309 58.61448153, 24.35279937 58.61442888, 24.35280304 58.61437626, 24.35227752 58.61434044, 24.35205047 58.61432133, 24.35177717 58.61430016, 24.35163423 58.61428959, 24.35139317 58.61427461, 24.35094847 58.6142357, 24.34830017 58.61403783, 24.34791339 58.61401038, 24.3473878 58.61396577, 24.34698839 58.61393616, 24.34643342 58.61389382, 24.3456812 58.61387173, 24.3455763 58.61388516, 24.34553906 58.61394225, 24.34533693 58.61470861, 24.34507281 58.61565544, 24.34498402 58.61602392, 24.34503465 58.61604571, 24.34513559 58.6160564, 24.34543377 58.61609152, 24.34546649 58.61609352, 24.34554024 58.61609332, 24.34584965 58.61612128, 24.34591759 58.61612633))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-25052309552341b5ab9c838021def3b9,cdse,finished,2025-05-23T09:55:24Z,2025-05-23T09:57:05Z,66.120318204 cpu-seconds,426213.6171875 mb-seconds,131 seconds
"POLYGON ((26.75301697 58.66852668, 26.75299193 58.66848922, 26.75293997 58.66839369, 26.75293465 58.66838046, 26.75290815 58.6683475, 26.75290244 58.66833819, 26.75290813 58.6683272, 26.75291591 58.6683173, 26.75291428 58.66830054, 26.75291005 58.66828263, 26.75290977 58.66828241, 26.75287575 58.66827972, 26.75282881 58.66827938, 26.75278863 58.66828225, 26.75275683 58.66829179, 26.75274075 58.66830229, 26.75274046 58.66831586, 26.75274095 58.6683396, 26.75274288 58.66834536, 26.75274688 58.66836735, 26.75274959 58.66840169, 26.75275871 58.6684336, 26.75280996 58.66852538, 26.75284977 58.6685824, 26.75289604 58.66863557, 26.75303444 58.66883767, 26.7532616 58.66922442, 26.75331139 58.66929394, 26.7534066 58.66944395, 26.75347898 58.66956865, 26.75354226 58.66966135, 26.75355066 58.6696648, 26.75359564 58.66970001, 26.75370477 58.66975441, 26.75373147 58.66978221, 26.75373189 58.6698049, 26.75372938 58.66982481, 26.7537086 58.66987207, 26.7536931 58.66992109, 26.75372376 58.66996248, 26.75378456 58.67003995, 26.75383746 58.67008294, 26.75386916 58.67008837, 26.75391599 58.67008803, 26.75406453 58.67005432, 26.75442084 58.66998018, 26.7547123 58.66992439, 26.75518843 58.66983207, 26.75538268 58.66979641, 26.75547036 58.66978178, 26.75551349 58.66977528, 26.75570333 58.66974804, 26.75574647 58.669739, 26.7558006 58.66970813, 26.75598069 58.66966101, 26.7560404 58.66964129, 26.75607786 58.66961567, 26.75610214 58.66957827, 26.75611912 58.66953464, 26.75611925 58.66946726, 26.75611582 58.66938931, 26.75610441 58.66931367, 26.75605597 58.66916576, 26.75598293 58.66899924, 26.75593276 58.66888116, 26.75581577 58.66865812, 26.75576887 58.66856409, 26.75571038 58.66844406, 26.75569272 58.66841343, 26.75568757 58.66839542, 26.75561686 58.66837086, 26.75544911 58.66834498, 26.75534305 58.66833251, 26.75518775 58.66831166, 26.75496659 58.66829952, 26.75476773 58.66828904, 26.75470044 58.6682877, 26.75464302 58.66829001, 26.75459506 58.66829056, 26.75457928 58.66829238, 26.75451121 58.66829242, 26.75449621 58.6682917, 26.75449362 58.66829173, 26.75446575 58.6682903, 26.75446101 58.66829051, 26.75446975 58.66830393, 26.75446958 58.66830394, 26.75446095 58.66829059, 26.75443884 58.66829106, 26.75440691 58.66828362, 26.75438489 58.66826778, 26.75437152 58.66824702, 26.75434232 58.66820827, 26.75431215 58.66816253, 26.75428838 58.66813996, 26.75423413 58.66811393, 26.75420847 58.66810726, 26.75417711 58.66810675, 26.75396358 58.66812396, 26.75372623 58.6681435, 26.75370979 58.66814987, 26.75367237 58.66817103, 26.75365045 58.66819051, 26.75364176 58.66821167, 26.75364179 58.66822938, 26.75368963 58.6683899, 26.75368556 58.66841273, 26.75366957 58.66842646, 26.75347361 58.66845672, 26.75328005 58.66849335, 26.75304828 58.66853285, 26.75303509 58.66853318, 26.75302627 58.66853111, 26.75301697 58.66852668), (26.75446027 58.66980149, 26.75452523 58.66979266, 26.75456238 58.66979331, 26.75458555 58.66979732, 26.75460953 58.66981168, 26.75461095 58.66982947, 26.75460655 58.66984592, 26.75458809 58.66986567, 26.75456279 58.66987067, 26.75451704 58.66987021, 26.75447955 58.66986502, 26.75445817 58.66984766, 26.75444766 58.66982258, 26.75446027 58.66980149))",EPSG:4326,"['2024-01-01', '2024-03-01']",spelt,j-250523095540471194a5ff4769b19f92,cdse,finished,2025-05-23T09:55:41Z,2025-05-23T09:58:09Z,99.878819345 cpu-seconds,937276.9453125 mb-seconds,234 seconds
