MMSI,Latitude,Longitude,x_coord,y_coord,Type of mobile,Ship type,Navigational status,Heading,Width,Length
211226920.0,54.682255,9.991272727272861,6392,4013,Class A,Passenger,Moored,178.0181818092562,6.0,21.0
211226990.0,54.82305866666408,9.65427066666641,4205,2472,Class A,Passenger,Under way using engine,,7.0,38.0
211227990.0,54.88920150001094,10.134993550007941,7282,1696,Class B,Sailing,Unknown value,,3.0,11.0
211228230.0,54.67011,9.939137,6058,4153,Class B,Sailing,Unknown value,,3.0,11.0
211231520.0,54.36003808426952,10.147704432584515,7459,7583,Class A,Tug,Moored,310.0,14.0,32.0
211232530.0,55.0150890000078,9.667032999988,4267,334,Class B,Sailing,Unknown value,,3.0,11.0
211232730.0,54.47406305619916,9.905029887642582,5866,6337,Class B,Sailing,Unknown value,,4.0,13.0
211236290.0,54.37176673333358,10.157869066666535,7523,7451,Class A,Other,Under way using engine,143.0,8.0,50.0
211238130.0,55.00004210344817,9.738845310396664,4728,497,Class B,Sailing,Unknown value,,2.0,
211238780.0,54.55388259989248,10.34773839987872,8718,5403,Class B,Sailing,Unknown value,,6.0,9.0
211239420.0,55.01595621621154,10.36590405404869,8735,259,Class B,Sailing,Unknown value,,3.0,11.0
211240530.0,54.833997000024,9.669767000029001,4304,2349,Class B,Sailing,Unknown value,,4.0,12.0
211240860.0,55.008903,10.343638,8594,341,Class B,Sailing,Unknown value,,3.0,9.0
211240870.0,54.323564402234624,10.14517767597768,7450,7989,Class A,Passenger,Moored,,8.0,28.0
211241480.0,54.821962,9.653263,4199,2484,Class B,Pleasure,Unknown value,,4.0,12.0
211241820.0,54.73211226663677,10.069090666658063,6886,3451,Class B,Sailing,Unknown value,,4.0,11.0
211242020.0,55.039958,10.253592,8012,6,Class B,Sailing,Unknown value,,4.0,12.0
211242260.0,54.45523583332769,10.348291566686058,8743,6500,Class B,Sailing,Unknown value,,1.0,1.0
211244110.0,54.84828839800993,10.524854492537246,9792,2104,Class B,Pleasure,Unknown value,,4.0,12.0
211260740.0,54.75824084397159,9.872923475177577,5619,3178,Class B,Sailing,Unknown value,,,
211261560.0,54.854954973152964,10.039131248314975,6673,2087,Class B,Sailing,Unknown value,,4.0,10.0
211277490.0,54.744131933296195,10.450507366635687,9339,3273,Class B,Sailing,Unknown value,,2.0,9.0
211277850.0,54.908297,9.785028,5035,1515,Class B,Pleasure,Unknown value,,4.0,12.0
211280260.0,54.90048,10.093237,7012,1575,Class B,Sailing,Unknown value,189.0,4.0,12.0
211281750.0,54.87218758621819,9.802782517233085,5153,1915,Class B,Sailing,Unknown value,,4.0,11.0
211287430.0,54.82796342858487,9.668749928581533,4298,2416,Class B,Sailing,Unknown value,,4.0,10.0
211289330.0,54.8505,9.80345,5160,2156,Class B,Sailing,Unknown value,,4.0,12.0
211290480.0,54.681454366657285,10.26029509997723,8127,3994,Class B,Sailing,Unknown value,,5.0,15.0
211292320.0,54.60509649959941,10.431739165880192,9250,4822,Class B,Pleasure,Unknown value,,7.0,10.0
211292920.0,54.81128066850826,9.454896707182412,2925,2613,Class B,Sailing,Unknown value,,5.0,15.0
211295840.0,54.66888383749976,9.93865507500025,6055,4166,Class B,Pleasure,Unknown value,,4.0,12.0
211296730.0,54.811238,9.454557,2923,2613,Class B,Sailing,Unknown value,,4.0,14.0
211299330.0,54.42540613334723,10.21018893333527,7853,6849,Class B,Pleasure,Unknown value,,4.0,13.0
211300690.0,54.94124828574052,10.30560778561829,8365,1098,Class B,Sailing,Unknown value,294.28571409693876,4.0,10.0
211301940.0,54.649462,10.046053,6751,4373,Class B,Sailing,Unknown value,,4.0,12.0
211302570.0,54.529556999986,10.0546379999601,6826,5706,Class A,Sailing,Under way using engine,,7.0,36.0
211302890.0,54.53701299999261,10.048377999986943,6785,5624,Class A,Sailing,Under way sailing,,7.0,30.0
211305330.0,54.848415230769255,10.524604769230743,9791,2103,Class B,Sailing,Unknown value,,4.0,11.0
211307740.0,54.81003119148934,9.453096617021323,2914,2627,Class B,Sailing,Unknown value,189.0,,
211309280.0,55.01455099998553,10.47633093330137,9442,261,Class B,Pleasure,Unknown value,,4.0,14.0
211310660.0,54.576482107189136,10.156502249986456,7477,5174,Class B,Sailing,Unknown value,,4.0,12.0
211312610.0,54.49851699998175,10.266161999985163,8201,6029,Class B,Sailing,Unknown value,,4.0,11.0
211315270.0,54.34832733333343,10.173873933333484,7632,7710,Class A,Dredging,Under way using engine,,8.0,25.0
211315840.0,54.565669000031804,10.256747451625788,8127,5283,Class B,Sailing,Unknown value,,5.0,17.0
211315930.0,54.635405571422375,10.363224428550627,8800,4494,Class B,Sailing,Unknown value,,4.0,12.0
211317180.0,54.386433,10.173635,7623,7286,Class A,Cargo,Moored,330.0,17.0,100.0
211320080.0,55.007567866073664,9.793242312498815,5075,409,Class B,Pleasure,Unknown value,,3.0,10.0
211323910.0,54.894343,10.409688,9042,1607,Class B,Pleasure,Unknown value,,2.0,8.0
211328680.0,54.836311428581375,9.697833785674758,4484,2322,Class B,Sailing,Unknown value,,4.0,12.0
211330080.0,54.661834210702345,9.935089210702346,6033,4245,Class B,Sailing,Unknown value,,3.0,11.0
211331460.0,54.582745814606625,10.025219674157348,6627,5117,Class B,Sailing,Unknown value,,4.0,11.0
211336340.0,54.890902,10.414025,9071,1645,Class A,Other,Under way using engine,349.0,6.0,28.0
211336970.0,54.754482580680246,10.029245096753131,6625,3206,Class B,Sailing,Unknown value,337.4516127887617,,
211339240.0,54.87785260675512,9.624844775268992,4011,1864,Class B,Sailing,Unknown value,,5.0,22.0
211341460.0,55.027005000075,10.437609997699997,9191,127,Class B,Sailing,Unknown value,,3.0,10.0
211341650.0,54.525976699977626,10.294984333312645,8382,5720,Class B,Pleasure,Unknown value,,4.0,13.0
211344420.0,54.43059387499971,10.1729600357147,7610,6795,Class B,Sailing,Unknown value,,4.0,15.0
211351850.0,54.746905999985536,9.99651640001036,6416,3293,Class B,Pleasure,Unknown value,,3.0,12.0
211360790.0,54.606030994781534,10.059052001459493,6842,4855,Class B,Sailing,Unknown value,,4.0,10.0
211362080.0,54.669409714256076,10.039863428589952,6708,4151,Class B,Pleasure,Unknown value,,3.0,10.0
211364930.0,54.906873000045906,9.889648000206984,5706,1522,Class B,Sailing,Unknown value,,4.0,15.0
211365160.0,54.84048226340017,9.808712509420372,5195,2267,Class B,Sailing,Unknown value,7.070911784267857,4.0,11.0
211366890.0,54.90613903878124,9.887935490304866,5695,1531,Class B,Sailing,Unknown value,,4.0,12.0
211367180.0,54.400047,10.213967,7882,7130,Class B,Pleasure,Unknown value,225.0,5.0,15.0
211373900.0,54.66241353333352,9.935884166666547,6038,4239,Class B,Pleasure,Unknown value,,4.0,14.0
211374330.0,54.61645917240536,9.9032317930819,5834,4753,Class B,Sailing,Unknown value,,3.0,12.0
211374650.0,54.8140232758665,9.768074551708157,4937,2565,Class B,Sailing,Unknown value,292.4827586028537,4.0,12.0
211378990.0,54.82763657143523,10.572493571422909,10103,2327,Class B,Sailing,Unknown value,,4.0,12.0
211379620.0,54.790492,9.434898,2798,2845,Class A,Tug,Under way using engine,,7.0,22.0
211380000.0,54.875798,10.562087,10024,1793,Class B,Sailing,Unknown value,230.0,5.0,14.0
211383490.0,54.9401286129155,9.75998738709582,4870,1162,Class B,Pleasure,Unknown value,,4.0,15.0
211389450.0,54.461717,10.660517,10765,6385,Class B,Pleasure,Unknown value,105.0,4.0,13.0
211389860.0,54.402163,10.21654,7899,7107,Class B,Sailing,Unknown value,,3.0,9.0
211391960.0,54.896138,9.618018,3965,1661,Class B,Pleasure,Unknown value,,,
211392970.0,54.66612999997974,9.9390269999985,6058,4197,Class B,Sailing,Unknown value,,4.0,11.0
211394040.0,54.71303106897786,10.087266275878905,7006,3661,Class B,Sailing,Unknown value,,4.0,11.0
211399540.0,54.805717,10.077932,6930,2631,Class B,Sailing,Unknown value,,3.0,9.0
211404170.0,54.6710251011233,9.94036706741553,6066,4142,Class B,Sailing,Unknown value,,3.0,12.0
211409930.0,54.69184563331813,10.081477733346858,6972,3898,Class B,Sailing,Unknown value,,8.0,10.0
211411960.0,55.01126599999616,10.511834935476353,9669,292,Class B,Pleasure,Unknown value,,4.0,11.0
211412220.0,54.91474093104352,10.370624482739915,8787,1385,Class B,Sailing,Unknown value,,4.0,12.0
211413190.0,54.52853337545072,10.050142602267313,6798,5718,Class B,Sailing,Unknown value,,4.0,10.0
211414750.0,54.80920876666663,9.454138083333428,2920,2636,Class B,Pleasure,Unknown value,337.9777778279012,12.0,4.0
211418010.0,54.95936079990152,10.18941539990816,7618,910,Class B,Sailing,Unknown value,,3.0,9.0
211418260.0,54.4032775333342,10.21507723334404,7889,7094,Class B,Sailing,Unknown value,,4.0,11.0
211426120.0,54.67131770001749,9.9425950000231,6080,4139,Class B,Pleasure,Unknown value,,4.0,11.0
211431720.0,54.903172,10.629327,10449,1478,Class B,Sailing,Unknown value,,3.0,9.0
211432120.0,54.7338910000152,10.07426320000456,6919,3431,Class B,Pleasure,Unknown value,,3.0,9.0
211432150.0,54.894413,10.40996,9044,1606,Class B,Pleasure,Unknown value,,6.0,16.0
211432790.0,54.897882,9.61689,3958,1641,Class B,Pleasure,Unknown value,49.0,4.0,14.0
211439560.0,54.90158017142879,10.399921279999846,8978,1528,Class B,Sailing,Unknown value,,5.0,15.0
211440640.0,54.863119333350085,10.128736000008733,7246,1987,Class B,Sailing,Unknown value,,4.0,12.0
211440980.0,54.71528841667306,10.678007799986096,10811,3561,Class B,Sailing,Unknown value,,2.0,10.0
211441650.0,54.82169466665278,9.905003833357306,5816,2469,Class B,Sailing,Unknown value,,4.0,13.0
211445440.0,54.88407455738765,9.59085562296788,3792,1796,Class B,Pleasure,Unknown value,,4.0,14.0
211445640.0,54.78947853932583,9.43682065168544,2810,2856,Class B,Sailing,Unknown value,,4.0,13.0
211447850.0,55.040712,9.42384,2710,61,Class B,Pleasure,Unknown value,,1.0,12.0
211454980.0,54.965788906077336,10.436005624309349,9195,809,Class B,Sailing,Unknown value,,4.0,11.0
211455850.0,54.52301430482143,10.155134349451723,7478,5769,Class B,Pleasure,Unknown value,157.0,4.0,12.0
211455870.0,54.942487,10.260515,8076,1090,Class B,Sailing,Unknown value,,,
211457700.0,54.30819642857126,9.710601285716495,4625,8197,Class A,Passenger,Under way using engine,,10.0,29.0
211458210.0,54.3323565862115,10.15407851720088,7506,7890,Class A,Passenger,Under way using engine,,6.0,25.0
211460790.0,54.83840544827834,9.939878275898419,6038,2280,Class B,Pleasure,Unknown value,,3.0,10.0
211461690.0,55.03711251612482,9.425357677422397,2720,101,Class B,Pleasure,Unknown value,,5.0,15.0
211462260.0,54.65977334078204,10.020427916201124,6584,4260,Class A,,Moored,203.0,6.0,26.0
211462400.0,54.8103673240224,9.45435003351972,2922,2623,Class B,Sailing,Unknown value,,4.0,13.0
211463160.0,54.419900896825375,10.287089531745972,8353,6901,Class B,Sailing,Unknown value,,4.0,10.0
211465200.0,54.88360134482633,10.615402724129906,10364,1698,Class B,Sailing,Unknown value,,3.0,11.0
211470070.0,54.673092,10.03296,6663,4111,Class B,Sailing,Unknown value,,4.0,12.0
211474440.0,54.99830603447279,9.77099279309042,4934,514,Class B,Sailing,Unknown value,,4.0,14.0
211475640.0,55.044935645173474,9.635915483865821,4065,4,Class B,Sailing,Unknown value,,3.0,10.0
211479160.0,54.752975,9.862965,5556,3237,Class B,Sailing,Unknown value,111.0,4.0,15.0
211479230.0,54.87055268964968,10.536525827550028,9862,1855,Class B,Sailing,Unknown value,257.2413792841855,4.0,12.0
211480170.0,54.942365949720646,10.261657849161942,8083,1091,Class B,Sailing,Unknown value,,4.0,11.0
211485170.0,54.5817716333333,10.024596533333192,6624,5128,Class B,Sailing,Unknown value,,4.0,11.0
211486840.0,54.75890539495774,10.669548638655154,10745,3077,Class B,Sailing,Unknown value,,4.0,12.0
211491360.0,54.84965500001312,9.511878500016266,3288,2183,Class B,Sailing,Unknown value,,4.0,13.0
211493930.0,54.871836913787064,9.626672810346514,4023,1931,Class B,Sailing,Unknown value,,3.0,11.0
211497670.0,55.02770357143959,10.66585971427999,10650,87,Class B,Sailing,Unknown value,,4.0,13.0
211499370.0,54.89738074725279,9.793268571428623,5089,1635,Class B,Pleasure,Unknown value,,3.0,11.0
211503140.0,54.921402749975385,10.170843999988,7506,1334,Class B,Sailing,Unknown value,,4.0,14.0
211510770.0,54.697436999987836,10.414184499990458,9115,3797,Class B,Pleasure,Unknown value,,3.0,11.0
211512140.0,54.938577999989725,10.132266999963056,7255,1147,Class B,Sailing,Unknown value,,4.0,10.0
211515010.0,54.81841498334472,9.930106183317768,5978,2503,Class B,Sailing,Unknown value,,4.0,12.0
211516290.0,54.75206426315793,10.67225507368428,10764,3153,Class A,Pleasure,Unknown value,,5.0,13.0
211517760.0,54.400183,10.21414,7883,7129,Class B,Sailing,Unknown value,,4.0,13.0
211519000.0,54.682368838709614,9.992143322580151,6398,4012,Class A,Fishing,Engaged in fishing,275.38709679396464,5.0,17.0
211519570.0,54.848160666660625,10.024331566676318,6579,2164,Class B,Pleasure,Unknown value,,4.0,14.0
211520950.0,55.021945,9.64227,4108,259,Class B,Sailing,Unknown value,,2.0,10.0
211523050.0,54.656032,9.936713,6045,4310,Class B,Sailing,Unknown value,,4.0,11.0
211525170.0,55.041715,9.703348,4496,36,Class B,Sailing,Unknown value,,,
211525930.0,54.91029166666611,9.784185666660145,5029,1492,Class B,Sailing,Unknown value,,4.0,13.0
211528300.0,54.681395,9.99331,6406,4022,Class B,Sailing,Unknown value,,4.0,13.0
211529580.0,54.52454749999985,9.716126549999942,4636,5789,Class A,Passenger,Moored,,7.0,40.0
211531750.0,54.690747,10.071903,6911,3911,Class B,Sailing,Unknown value,,4.0,9.0
211533370.0,54.49993933332605,10.28486519991712,8322,6011,Class A,Pilot,Unknown value,261.06666659555555,5.0,18.0
211539530.0,54.93011833333845,10.332647433325182,8541,1219,Class B,Sailing,Unknown value,,4.0,12.0
211541140.0,54.77726042697341,9.968455022463731,6231,2958,Class B,Sailing,Unknown value,,2.0,11.0
211546110.0,54.59305203568586,10.52726935722705,9869,4943,Class B,Sailing,Unknown value,,8.0,16.0
211546560.0,55.025076612888334,10.530733322542247,9787,136,Class B,Pleasure,Unknown value,,4.0,13.0
211547790.0,54.63709420003576,10.06427759999508,6871,4509,Class B,Pleasure,Unknown value,,,
211554430.0,54.80998913794393,10.596269827569419,10260,2520,Class B,Sailing,Unknown value,,4.0,13.0
211554880.0,54.587405280011446,10.57003447997017,10147,5000,Class B,Sailing,Unknown value,,4.0,10.0
211556590.0,54.96012188442149,10.226687396984822,7856,897,Class A,Sailing,Unknown value,,4.0,16.0
211560740.0,54.7801981333396,9.977013966655283,6285,2924,Class B,Sailing,Unknown value,,4.0,10.0
211562030.0,54.88960758332284,10.271571750017529,8158,1677,Class B,Sailing,Unknown value,,4.0,11.0
211563070.0,54.85559352850761,10.529000821057267,9817,2022,Class B,Pleasure,Unknown value,,4.0,13.0
211567500.0,54.637782258043366,10.055149032267389,6812,4502,Class B,Pleasure,Unknown value,156.80645167117586,4.0,11.0
211570440.0,54.880697241370086,9.579307827569744,3718,1835,Class B,Sailing,Unknown value,212.6551724369798,3.0,9.0
211571790.0,55.043872,9.705153,4507,11,Class B,Sailing,Unknown value,,5.0,17.0
211573980.0,54.968232,10.16034,7430,814,Class B,Sailing,Unknown value,,4.0,10.0
211574360.0,54.99672557143727,9.737999428525407,4723,534,Class B,Pleasure,Unknown value,,4.0,20.0
211574680.0,54.791958,9.43687,2811,2829,Class B,Sailing,Unknown value,,4.0,12.0
211577030.0,54.939538866648064,10.315123933376897,8427,1116,Class B,Pleasure,Unknown value,,6.0,14.0
211579170.0,54.854640970603995,9.523483970608412,3362,2127,Class B,Sailing,Unknown value,,4.0,12.0
211579440.0,54.73161186299339,10.071800493142668,6903,3456,Class B,Sailing,Unknown value,189.56164387971478,3.0,11.0
211580260.0,54.52726609998637,10.0485849999778,6788,5732,Class B,Sailing,Unknown value,,3.0,13.0
211581110.0,54.71423672412132,10.050514551719429,6769,3652,Class B,Sailing,Unknown value,,4.0,11.0
211582410.0,54.81190550697036,10.43433674415913,9219,2521,Class B,Pleasure,Unknown value,240.0,4.0,12.0
211582440.0,54.68199458622198,10.32340551727233,8534,3981,Class B,Sailing,Unknown value,,4.0,13.0
211587450.0,54.49134,9.699493,4532,6160,Class B,Pleasure,Unknown value,,2.0,11.0
211589890.0,54.87484916665224,10.563308199926508,10032,1803,Class B,Sailing,Unknown value,,2.0,7.0
211592540.0,54.82358909774463,9.496664590225423,3193,2474,Class B,Sailing,Unknown value,,4.0,12.0
211592640.0,54.855671333318526,10.522683433338052,9776,2022,Class B,Pleasure,Unknown value,,4.0,14.0
211593250.0,54.373335,10.192847,7750,7430,Class B,Sailing,Unknown value,,4.0,11.0
211596900.0,54.68127230000019,9.992431299999557,6400,4024,Class B,Sailing,Unknown value,,4.0,14.0
211599180.0,54.797413,10.079763,6943,2723,Class B,Sailing,Unknown value,176.0,,12.0
211600440.0,54.83614,10.10978,7129,2289,Class B,Sailing,Unknown value,119.0,4.0,14.0
211603450.0,54.419964766649116,10.207190889994136,7835,6910,Class B,,Unknown value,,,
211603700.0,54.895905837988934,9.618209525139696,3966,1663,Class B,Sailing,Unknown value,,3.0,11.0
211609210.0,55.037436464293194,10.300819821386709,8315,28,Class B,Pleasure,Unknown value,,4.0,11.0
211611070.0,54.35981238842977,10.148201264462779,7463,7585,Class A,Tug,Moored,129.2176308518392,8.0,28.0
211613740.0,54.977943,10.18181,7565,704,Class B,Sailing,Unknown value,,4.0,11.0
211613790.0,54.85763302199196,10.139317450554664,7315,2047,Class B,Sailing,Unknown value,,4.0,13.0
211615140.0,54.821345,9.653012,4197,2491,Class B,Sailing,Unknown value,,3.0,10.0
211616330.0,54.76714204920229,10.093460000009868,7037,3059,Class B,Pleasure,Unknown value,,5.0,15.0
211617170.0,54.432412,10.188938,7714,6773,Class B,Sailing,Unknown value,,5.0,15.0
211619340.0,54.673228765027375,10.032972792349804,6663,4110,Class B,Sailing,Unknown value,,3.0,10.0
211624170.0,54.43943881355744,10.216911915267405,7894,6692,Class B,Pleasure,Unknown value,95.30508473398449,4.0,11.0
211627830.0,54.41931,10.280735,8312,6908,Class B,Pleasure,Unknown value,,4.0,10.0
211631730.0,54.89792199999669,9.617034799988781,3959,1641,Class B,Sailing,Unknown value,,,
211633620.0,54.942476117318385,10.260436932960838,8076,1090,Class B,Sailing,Unknown value,,4.0,11.0
211635380.0,55.039983,10.253668,8013,6,Class B,Sailing,Unknown value,,3.0,10.0
211636230.0,54.83551572951448,9.698815377033124,4490,2330,Class B,Pleasure,Unknown value,299.76229506869794,2.0,9.0
211637020.0,54.84257295026369,10.101049414360821,7072,2219,Class B,Sailing,Unknown value,184.91712707780593,4.0,12.0
211641190.0,54.67243919999628,10.033107599969933,6664,4118,Class A,,Moored,,8.0,44.0
211646120.0,54.67998644826299,9.991415068959757,6394,4038,Class B,Sailing,Unknown value,,4.0,11.0
211648110.0,54.793088,9.846237,5443,2792,Class B,Sailing,Unknown value,,3.0,11.0
211650410.0,54.9581070000395,10.710879499988753,10957,855,Class B,Sailing,Unknown value,,4.0,10.0
211651920.0,54.361523,10.14716472726561,7456,7566,Class A,,Under way using engine,124.0,10.0,40.0
211657650.0,54.67241110343597,10.668608724139714,10762,4040,Class B,Pleasure,Unknown value,,4.0,12.0
211660320.0,54.789934186813184,9.436894153846138,2811,2851,Class B,Sailing,Unknown value,,3.0,9.0
211664030.0,54.926282068908854,10.676929413701979,10748,1214,Class B,Pleasure,Unknown value,,4.0,14.0
211664360.0,54.81763678570733,9.727413071416425,4676,2527,Class B,Sailing,Unknown value,,4.0,13.0
211664630.0,54.78945541936589,9.852868806426908,5486,2832,Class B,Sailing,Unknown value,,4.0,12.0
211668460.0,54.64811539998592,10.37701619998856,8887,4351,Class B,Sailing,Unknown value,,3.0,9.0
211673700.0,54.942998,10.260397,8075,1084,Class B,Pleasure,Unknown value,,5.0,15.0
211684920.0,54.685845419355275,9.986762032258227,6363,3973,Class B,Pleasure,Unknown value,,4.0,12.0
211689240.0,54.85351752938838,9.626157479000417,4021,2134,Class B,Sailing,Unknown value,,4.0,12.0
211689800.0,54.82252072727278,9.471996969697045,3034,2487,Class B,Sailing,Unknown value,,4.0,10.0
211689830.0,54.85257141665302,10.161140916667517,7456,2101,Class B,Sailing,Unknown value,,4.0,11.0
